Grasp No.,Volume,Epsilon,Contact QTY,Energy,Autograsp Quality
1,0.000244,0.00924,19.0,28.0921,-0.93096
2,0.000308,0,19.0,21.7133,99.9908
3,0.000589,0.0194,19.0,27.7593,-1.96149
4,0.0014,0,19.0,13.9626,99.958
5,0.00111,0,19.0,18.838,99.9667
6,0.000549,0.000812,19.0,33.4037,-0.0976595
7,0.00353,0,19.0,35.7752,99.894
8,0.0,0,19.0,63.2796,100.0
11,0.000398,0,19.0,33.3495,99.9881
12,0.00228,0,19.0,35.3309,99.9317
13,0.000389,0.0362,19.0,24.6488,-3.63242
14,7.99e-05,0.00498,19.0,43.8352,-0.500151
15,8.1e-05,0.00821,19.0,16.7877,-0.822973
16,7.98e-05,0,19.0,32.7046,99.9976
17,0.000411,7.9e-19,19.0,31.5162,-0.0123317
18,0.0,0,19.0,39.4096,100.0
21,0.00175,0.0379,19.0,42.8199,-3.84452
22,0.000799,0.0213,19.0,29.3261,-2.15402
23,0.000858,0.0223,19.0,22.9242,-2.25476
24,0.0,0,19.0,38.2215,100.0
25,0.0,0,19.0,41.3241,100.0
26,0.00306,0,19.0,50.6288,99.9083
27,0.0034,0,19.0,5.69613,99.8979
28,0.0,0,19.0,33.5733,100.0
31,0.000901,0,19.0,37.4174,99.973
32,0.0002,0,19.0,45.9145,99.994
33,0.00253,0,19.0,48.0726,99.9242
34,0.000298,0,19.0,26.1538,99.9911
35,0.000193,0,19.0,70.7645,99.9942
36,0.0,0,19.0,72.0057,100.0
37,2.86e-07,0,19.0,48.382,100.0
38,0.0,0,19.0,48.1681,100.0
41,1.99e-05,0,19.0,24.6242,99.9994
42,0.000153,0,19.0,51.3646,99.9954
43,4.04e-05,0,19.0,49.652,99.9988
44,0.0,0,19.0,38.4368,100.0
45,0.00165,0,19.0,47.9209,99.9505
46,0.000153,0,19.0,36.6637,99.9954
47,0.0,0,19.0,54.4455,100.0
48,0.0,0,19.0,126.923,100.0
51,0.000476,0,19.0,20.9507,99.9857
52,0.000607,0.0459,19.0,29.131,-4.60329
53,9.56e-05,0,19.0,39.8399,99.9971
54,0.000421,0,19.0,27.6327,99.9874
55,0.000527,0,19.0,33.4862,99.9842
56,0.00197,0,19.0,23.3175,99.941
57,0.000522,0.0188,19.0,41.5167,-1.89702
58,0.0,0,19.0,78.3203,100.0
61,0.00338,0,19.0,64.6177,99.8986
62,0.00274,0,19.0,48.787,99.9178
63,0.000548,0,19.0,60.533,99.9836
64,0.0,0,19.0,33.9329,100.0
65,0.00204,0,19.0,41.5853,99.9388
66,0.0042,0,19.0,39.423,99.874
67,0.00246,0,19.0,52.6374,99.9262
68,0.0,0,19.0,40.167,100.0
71,0.00219,0.0265,19.0,58.8096,-2.71572
72,0.0,0,19.0,71.8548,100.0
73,0.00377,0.0669,19.0,64.8835,-6.80361
74,0.000644,0,19.0,58.4725,99.9807
75,0.0,0,19.0,57.6113,100.0
76,0.00646,0.0213,19.0,56.7225,-2.32634
77,3.62e-06,0,19.0,40.8225,99.9999
78,0.0,0,19.0,105.607,100.0
81,0.00271,0,19.0,16.7857,99.9188
82,0.00309,0.0444,19.0,41.8109,-4.53245
83,0.000133,0.001,19.0,55.6707,-0.104017
84,0.00344,0.0407,19.0,25.4971,-4.17038
85,0.00967,0,19.0,24.5974,99.7099
86,0.00693,0,19.0,38.8191,99.7921
87,0.00308,4.61e-18,19.0,41.033,-0.0923198
88,0.0,0,19.0,107.842,100.0
