Grasp No.,Physical?,RespondentID,StartDate,IP Address,Survey No.,Survey No. Cumulative,Yes/No Order,Rating Value,Successful?,Expirimental
52,1,2421151954,41288.65093,208.108.81.45,1,1,1,0.5,1,1
52,1,2421004333,41288.59417,72.202.155.18,1,1,1,0.25,0,1
52,1,2420983265,41288.58506,70.226.165.24,1,1,1,0.75,0,1
52,1,2420982518,41288.58479,99.109.96.242,1,1,1,0.75,1,1
52,1,2420977279,41288.58241,173.59.3.111,1,1,1,0.5,0,1
52,1,2420888694,41288.53313,74.193.87.170,1,1,1,0.75,0,1
52,1,2420861095,41288.51144,216.119.18.14,1,1,1,0.5,1,1
52,1,2420845954,41288.49848,99.73.182.81,1,1,1,0.25,0,1
52,1,2420751154,41288.40244,173.86.142.88,1,1,1,0.25,0,1
52,1,2420736328,41288.38684,108.244.230.90,1,1,1,0.75,1,1
52,1,2420729152,41288.37847,207.181.244.89,1,1,1,0.25,0,1
4,1,2421151954,41288.65093,208.108.81.45,2,2,2,0.75,0,1
4,1,2421004333,41288.59417,72.202.155.18,2,2,2,1,1,1
4,1,2420983265,41288.58506,70.226.165.24,2,2,2,0.5,0,1
4,1,2420982518,41288.58479,99.109.96.242,2,2,2,0.75,1,1
4,1,2420977279,41288.58241,173.59.3.111,2,2,2,0.75,1,1
4,1,2420888694,41288.53313,74.193.87.170,2,2,2,0.5,0,1
4,1,2420861095,41288.51144,216.119.18.14,2,2,2,0.75,1,1
4,1,2420845954,41288.49848,99.73.182.81,2,2,2,1,1,1
4,1,2420751154,41288.40244,173.86.142.88,2,2,2,0.5,0,1
4,1,2420736328,41288.38684,108.244.230.90,2,2,2,0.75,1,1
4,1,2420729152,41288.37847,207.181.244.89,2,2,2,0.75,1,1
21,1,2421151954,41288.65093,208.108.81.45,3,3,2,0.75,1,0
21,1,2421004333,41288.59417,72.202.155.18,3,3,2,1,0,0
21,1,2420983265,41288.58506,70.226.165.24,3,3,2,0.5,0,0
21,1,2420982518,41288.58479,99.109.96.242,3,3,2,0.5,0,0
21,1,2420977279,41288.58241,173.59.3.111,3,3,2,0.5,0,0
21,1,2420888694,41288.53313,74.193.87.170,3,3,2,0.5,0,0
21,1,2420861095,41288.51144,216.119.18.14,3,3,2,0.75,1,0
21,1,2420845954,41288.49848,99.73.182.81,3,3,2,0.5,1,0
21,1,2420751154,41288.40244,173.86.142.88,3,3,2,0.5,0,0
21,1,2420736328,41288.38684,108.244.230.90,3,3,2,0.5,0,0
21,1,2420729152,41288.37847,207.181.244.89,3,3,2,0.5,0,0
16,1,2421151954,41288.65093,208.108.81.45,4,4,2,0.75,1,1
16,1,2421004333,41288.59417,72.202.155.18,4,4,2,1,0,1
16,1,2420983265,41288.58506,70.226.165.24,4,4,2,0.25,0,1
16,1,2420982518,41288.58479,99.109.96.242,4,4,2,0.75,1,1
16,1,2420977279,41288.58241,173.59.3.111,4,4,2,0.25,0,1
16,1,2420888694,41288.53313,74.193.87.170,4,4,2,0.75,1,1
16,1,2420861095,41288.51144,216.119.18.14,4,4,2,0.75,1,1
16,1,2420845954,41288.49848,99.73.182.81,4,4,2,0.25,0,1
16,1,2420751154,41288.40244,173.86.142.88,4,4,2,0.5,0,1
16,1,2420736328,41288.38684,108.244.230.90,4,4,2,0.75,1,1
16,1,2420729152,41288.37847,207.181.244.89,4,4,2,0.75,1,1
45,1,2421151954,41288.65093,208.108.81.45,5,5,2,0.5,0,0
45,1,2421004333,41288.59417,72.202.155.18,5,5,2,0.25,0,0
45,1,2420983265,41288.58506,70.226.165.24,5,5,2,0.25,0,0
45,1,2420982518,41288.58479,99.109.96.242,5,5,2,0.5,0,0
45,1,2420977279,41288.58241,173.59.3.111,5,5,2,0.25,0,0
45,1,2420888694,41288.53313,74.193.87.170,5,5,2,0.25,0,0
45,1,2420861095,41288.51144,216.119.18.14,5,5,2,0.25,0,0
45,1,2420845954,41288.49848,99.73.182.81,5,5,2,0.5,1,0
45,1,2420751154,41288.40244,173.86.142.88,5,5,2,0.25,0,0
45,1,2420736328,41288.38684,108.244.230.90,5,5,2,0.25,0,0
45,1,2420729152,41288.37847,207.181.244.89,5,5,2,0,0,0
56,1,2421151954,41288.65093,208.108.81.45,6,6,1,1,1,0
56,1,2421004333,41288.59417,72.202.155.18,6,6,1,1,1,0
56,1,2420983265,41288.58506,70.226.165.24,6,6,1,0.25,0,0
56,1,2420982518,41288.58479,99.109.96.242,6,6,1,0.75,1,0
56,1,2420977279,41288.58241,173.59.3.111,6,6,1,0.75,1,0
56,1,2420888694,41288.53313,74.193.87.170,6,6,1,0.5,0,0
56,1,2420861095,41288.51144,216.119.18.14,6,6,1,0.75,1,0
56,1,2420845954,41288.49848,99.73.182.81,6,6,1,0.75,1,0
56,1,2420751154,41288.40244,173.86.142.88,6,6,1,0.25,0,0
56,1,2420736328,41288.38684,108.244.230.90,6,6,1,0.75,0,0
56,1,2420729152,41288.37847,207.181.244.89,6,6,1,0.5,0,0
33,1,2421151954,41288.65093,208.108.81.45,7,7,2,0.75,0,0.75
33,1,2421004333,41288.59417,72.202.155.18,7,7,2,0.5,0,0.75
33,1,2420983265,41288.58506,70.226.165.24,7,7,2,0.25,0,0.75
33,1,2420982518,41288.58479,99.109.96.242,7,7,2,0.75,1,0.75
33,1,2420977279,41288.58241,173.59.3.111,7,7,2,0.75,1,0.75
