Data from robot gripper sensors											
Nov-14											
"Data generation: Physical testing and data logging"												
"Hardware: human, Robotiq hand"												
Grasp #	left finger	right finger	middle finger
1	0.4625	0.61375	0.4575
2	0.265	0.62625	0.40125
3	0.51125	0.634375	0.3975
4	0.393125	0.014375	0.21875
5	0.50875	0.0025	0.5525
6	0.51125	0.0075	0.50375
7	0.310625	0.18	0.459375
8	0.293125	0.040625	0.264375
9	0.0075	0.09	0.4825
10	0.039375	0.045625	0.39625
11	0.345	0.495	0.3875
12	0.035	0.045625	0.43
13	0.424375	0.295	0.548125
14	0.241875	0.2125	0.546875
15	0.06	0.066875	0.740625
16	0.299375	0.373125	0.33875
17	0.4	0.46375	0.37625
18	0.236875	0.31125	0.004375
19	0.32375	0.353125	0.21375
20	0.545625	0.438125	0.36375
21	0.43625	0.763125	0.509375
22	0.225	0.639375	0.0075
23	0.2825	0.50125	0.253125
24	0.235625	0.563125	0.33
25	0.284375	0.1	0.011875
26	0.23375	0.12375	0.105625
27	0.375	0.459375	0.415625
28	0.236875	0.43	0.151875
29	0.28375	0.4725	0.49375
30	0.34	0.4925	0.47
31	0.406875	0.0425	0.244375
32	0.67	0.55625	0.33625
33	0.2975	0.603125	0.624375
34	0.21125	0.356875	0.269375
35	0.313125	0.473125	0.414375
36	0.065	0.8675	0.58875
37	0.25625	0.543125	0.395625
38	0.259375	0.7525	0.341875
39	0.239375	0.734375	0.530625
40	0.465625	0.593125	0.43625
41	0.04625	0.0175	0.21375
42	0.0225	0.49875	0.163125
43	0.24625	0.00375	0.6225
44	0.149375	0.0025	0.764375
45	0.00625	0.26625	0.14125
46	0.01375	0.595	0.441875
47	0.068125	0.67	0.629375
48	0.000625	0.2625	0.008125
49	0.038125	0.596875	0.513125
50	0.02	0.609375	0.59125
51	0.06	0.589375	0.609375
52	0.001875	0.75625	0.0425
53	0.19875	0.75875	0.53625
54	0.025	0.778125	0.049375
55	0.0225	0.4925	0.40125
56	0.254375	0.529375	0.430625
57	0.018125	0.49625	0.01875
58	0.063125	0.4025	0.859375
59	0.01125	0.361875	0.86875
60	0.004375	0.29625	0.00625
61	0.085625	0.55875	0.5575
62	0.074375	0.006875	0.30375
63	0.004375	0.261875	0.01
64	0.013125	0.54875	0.56
65	0.37125	0.575625	0.423125
66	0.016875	0.318125	0.0125
67	0.043125	0.529375	0.255625
68	0.29375	0.56875	0.455
69	0.055	0.03875	0.45875
70	0.219375	0	0.05125
71	0.025	0.00125	0.274375
7	0.035	0.000625	0.0125
73	0.091875	0.00375	0.036875
74	0.06625	0.01625	0.4175
75	0.2925	0.069375	0.21125
76	0.375	0.459375	0.415625
77	0.340625	0.54875	0.680625
78	0.50125	0.675	0.655
79	0.10375	0.065	0.445
80	0.453125	0.176875	0.448125
81	0.4025	0.063125	0.5075
82	0.778125	0.615625	0.5625
83	0.48	0.221875	0.5275
84	0.736875	0.466875	0.55
85	0.005625	0.0125	0.015
86	0.424375	0.105625	0.519375
87	0.45875	0.106875	0.54125
88	0.414375	0.041875	0.455
89	0.416875	0.03875	0.464375
90	0.366875	0.04	0.418125
91	0.4625	0.61375	0.4575
92	0.265	0.62625	0.40125
93	0.51125	0.634375	0.3975
94	0.393125	0.014375	0.21875
95	0.50875	0.0025	0.5525
96	0.51125	0.0075	0.50375
97	0.310625	0.18	0.459375
98	0.293125	0.040625	0.264375
99	0.0075	0.09	0.4825
100	0.039375	0.045625	0.39625
