Data from robot gripper sensors								
14-Nov								
Data generation: Physical testing and data logging								
Hardware: human, Robotiq hand
Grasp #	maxofpalm	maxofmiddle	palm
1	1.055	0.91	0.4495
2	1.2	0.885	0.292166667
3	1.1625	0.9125	0.373333333
4	1.25	0.88	0.348
5	1.095	0.8275	0.423
6	1.13	0.8525	0.426333333
7	1.0925	0.8375	0.486666667
8	0.0775	0.6725	0.01
9	0.0075	1.005	0.002833333
10	0.005	0.8625	0.001833333
11	1.215	0.9225	0.307666667
12	1.19	0.835	0.312
13	0.9875	0.8375	0.353833333
14	1.255	0.84	0.349833333
15	1.155	0.84	0.470666667
16	0.875	0.8825	0.4385
17	1.16	0.8625	0.442
18	0.0975	0.8525	0.0145
19	0.07	0.8475	0.008666667
20	0.0175	0.9675	0.001833333
21	1.2475	0.845	0.2865
22	1.2525	0.815	0.2935
23	1.24	0.81	0.326333333
24	0.975	0.825	0.461166667
25	1.2425	0.815	0.288166667
26	1.1675	0.8225	0.329333333
27	1.21	0.8225	0.3075
28	0.1825	0.8275	0.017666667
29	0.01	0.94	0.003
30	0.005	0.6625	0.001833333
31	1.1275	0.815	0.295666667
32	1.205	0.8225	0.385
33	1.22	0.8175	0.430333333
34	1.2525	0.8225	0.370166667
35	1.235	0.8275	0.285666667
36	1.22	0.825	0.323666667
37	1.17	0.83	0.317166667
38	0.0075	0.715	0.002
39	0.08	0.1225	0.0215
40	0.03	0.7525	0.005333333
41	1.105	0.8325	0.436333333
42	1.1	0.8275	0.446333333
43	0.8725	0.845	0.297333333
44	0.835	0.8225	0.290166667
45	0.81	0.82	0.263333333
46	1.125	0.8275	0.2725
47	1.165	0.8275	0.365333333
48	1.17	0.825	0.244666667
49	0.015	0.6925	0.0035
50	0.0125	0.8425	0.002166667
51	0.005	0.6625	0.002
52	1.24	0.8025	0.207166667
53	1.135	0.8325	0.312333333
54	1.055	0.8325	0.3875
55	1.2125	0.8325	0.4395
56	1.1575	0.8675	0.486833333
57	1.125	0.8675	0.4675
58	1.0475	0.875	0.485666667
59	0.065	0.8975	0.009166667
60	0.015	0.825	0.004
61	0.005	0.9	0.001166667
62	1.0025	0.825	0.316
63	1.2175	0.8925	0.2665
64	1.24	0.85	0.278
65	0.9925	0.855	0.410166667
66	1.22	0.8525	0.306666667
67	1.1175	0.85	0.439333333
68	1.0925	0.855	0.501333333
69	0.015	0.8625	0.004833333
70	0.0125	0.7275	0.003166667
71	0.0225	0.655	0.003833333
72	1.0475	0.925	0.377833333
73	1.1075	0.86	0.470666667
74	1.15	0.8475	0.466333333
75	1.2275	0.8525	0.280333333
76	1.1	0.8675	0.3705
77	1.055	0.8475	0.3985
78	1.18	0.85	0.262833333
79	0.045	0.6525	0.007333333
80	0.0075	0.735	0.002666667
81	0.01	0.6075	0.002833333
82	1.17	0.8475	0.2695
83	1.205	0.8475	0.394833333
84	1.0925	0.8425	0.3455
85	0.9425	0.8475	0.368833333
86	0.9525	0.8475	0.350333333
87	0.5675	0.8475	0.077333333
88	1.0725	0.855	0.493
89	1.0925	0.8775	0.504
90	0.1125	0.66	0.011666667
91	0.0225	0.6375	0.004333333
92	0.01	0.6475	0.002833333
93	1.23	0.8625	0.288333333
94	0.9675	0.8575	0.416833333
95	1.03	0.8575	0.4815
96	1.0975	0.855	0.456
97	1.1925	0.8525	0.401333333
98	0.0375	0.865	0.006166667
99	0.01	0.8625	0.0025
100	0.005	0.8925	0.001666667
								
