Grasp #	palm	maxofmiddle	maxofpalm
1	0.001166667	1.0675	0.0025
2	0.028833333	0.91	0.285
3	0.097666667	0.7325	0.8775
4	0.002166667	0.15	0.005
5	0.0055	0.365	0.055
6	0.009166667	0.2025	0.06
7	0.020166667	0.0675	0.175
8	0.144166667	0.66	1.1425
9	0.004	0.6825	0.0275
10	0.002	1.105	0.005
11	0.002166667	1.0775	0.005
12	0.1195	0.02	0.9275
13	0.008833333	0.7525	0.0575
14	0.100833333	0.045	0.95
15	0.029833333	0.08	0.17
16	0.105666667	0.1975	0.44
17	0.1045	0.2275	0.3
18	0.113333333	0.6575	0.34
19	0.003833333	0.8375	0.0175
20	0.002	0.975	0.01
21	0.09	0.3175	0.3075
22	0.127333333	0.8125	0.4825
23	0.324666667	0.65	1.1675
24	0.158	0.4025	0.605
25	0.184333333	0.025	0.76
26	0.0995	0.3925	0.545
27	0.165833333	0.595	0.745
28	0.0035	0.7675	0.015
29	0.000666667	0.6925	0.005
30	0.0015	0.7025	0.005
31	0.058833333	0.32	0.325
32	0.143333333	0.03	0.745
33	0.1035	1.1375	0.73
34	0.030833333	0.94	0.27
35	0.082333333	0.5725	0.7325
36	0.0675	0.9575	0.6625
37	0.004666667	0.235	0.0275
38	0.0025	1.1675	0.01
39	0.001833333	0.635	0.005
40	0.001666667	0.575	0.0025
41	0.003666667	0.0775	0.025
42	0.036166667	0.0375	0.24
43	0.077666667	0.01	0.5875
44	0.002	0.075	0.0075
45	0.002	0.055	0.005
46	0.0035	0.715	0.0325
47	0.004	0.0025	0.04
48	0.001333333	1.12	0.005
49	0.001	1.15	0.0025
50	0.007333333	0.3925	0.0475
51	0.023	0.0325	0.145
52	0.0555	0.025	0.63
53	0.0215	0.015	0.1125
54	0.009	0.015	0.03
55	0.069333333	0.0175	0.6275
56	0.013833333	0.0175	0.045
57	0.002666667	1.03	0.015
58	0.002	0.665	0.005
59	0.002166667	1.0725	0.005
60	0.018	0.01	0.065
61	0.117333333	0.01	0.6425
62	0.041333333	0.015	0.15
63	0.035	0.0225	0.1875
64	0.0605	0.0275	0.4175
65	0.036333333	0.0225	0.13
66	0.015166667	0.78	0.085
67	0.000666667	1.1675	0.005
68	0.001166667	0.9175	0.005
69	0.000666667	1.1675	0.005
70	0.001666667	1.0175	0.005
71	0.054833333	0.0225	0.2475
72	0.019666667	0.705	0.16
73	0.065166667	0.015	0.505
74	0.006	0.0025	0.035
75	0.004666667	0.005	0.04
76	0.06	0.0225	0.21
77	0.053	0.0725	0.48
78	0.001833333	0.11	0.005
79	0.001333333	1.0225	0.0025
80	0.001666667	0.13	0.005
81	0.041333333	0.0175	0.2475
82	0.057666667	0.09	0.285
83	0.05	0.0175	0.19
84	0.061	0.0275	0.25
85	0.0415	0.0125	0.205
86	0.058	0.0275	0.35
87	0.001833333	1.12	0.005
88	0.001333333	0.9975	0.0025
89	0.001333333	1.12	0.005
90	0.0095	0.0425	0.0525
91	0.0325	0.01	0.34
92	0.003166667	1.105	0.0125
93	0.010666667	0.15	0.045
94	0.025166667	0.0225	0.17
95	0.002	1.1075	0.0125
96	0.003333333	1.1025	0.01
97	0.0015	1.0675	0.005
98	0.001833333	1.15	0.005
99	0.001333333	1.115	0.005
100	0.043666667	0.0175	0.2125
