Grasp #	palm	maxofmiddle	maxofpalm
1	0.0565	0.01	0.3075
2	0.064333333	0.02	0.345
3	0.057166667	0.0175	0.2575
4	0.078	0.0225	0.4
5	0.078	0.01	0.42
6	0.063166667	0.02	0.2225
7	0.002166667	0.955	0.01
8	0.001	0.75	0.0025
9	0.001166667	0.7825	0.005
10	0.053	0.02	0.395
11	0.098166667	0.02	0.8125
12	0.034	0.01	0.3175
13	0.050833333	0.005	0.3325
14	0.030833333	0.0125	0.19
15	0.03	0.015	0.1475
16	0.030333333	0.0175	0.1325
17	0.002833333	0.615	0.0075
18	0.002	0.8675	0.005
19	0.001833333	0.76	0.005
20	0.027666667	0.04	0.1625
21	0.044166667	0.01	0.2575
22	0.0835	0.0175	1.0425
23	0.024666667	0.0125	0.1625
24	0.133833333	0.015	0.72
25	0.106	0.015	0.7125
26	0.019333333	0.01	0.0725
27	0.031	0.0125	0.3
28	0.0025	0.5575	0.0075
29	0.001166667	0.815	0.005
30	0.003666667	0.9375	0.0125
31	0.003333333	0.905	0.01
32	0.044333333	0.095	0.4975
33	0.0015	0.0225	0.005
34	0.004166667	0.01	0.02
35	0.0015	0.0225	0.005
36	0.002	0.0025	0.01
37	0.001833333	0.0175	0.005
38	0.001	0.0875	0.0025
39	0.001	0.58	0.005
40	0.001333333	0.04	0.005
41	0.0015	0.0025	0.0025
42	0.012	0.005	0.1375
43	0.002833333	0.0025	0.025
44	0.0035	0.005	0.0225
45	0.006166667	0.0025	0.0525
46	0.002166667	0.0025	0.02
47	0.001666667	0.0025	0.005
48	0.001	0.1175	0.0025
49	0.001	0.7975	0.005
50	0.125666667	0.795	0.8275
51	0.104	0.6825	0.6425
52	0.120666667	0.885	0.83
53	0.008666667	0.0325	0.0775
54	0.097833333	0.39	0.6775
55	0.007666667	0.185	0.0675
56	0.028333333	0.02	0.145
57	0.096666667	0.3725	0.5575
58	0.002166667	1.025	0.005
59	0.001166667	1.125	0.0025
60	0.0015	1.145	0.005
61	0.0015	0.0025	0.0025
62	0.012	0.005	0.1375
63	0.486333333	0.8175	1.1825
64	0.3345	0.8475	1.2175
65	0.376166667	0.8075	1.045
66	0.239	0.88	1.0125
67	0.3265	0.8325	1.01
68	0.461166667	0.82	1.085
69	0.252	0.8575	0.9
70	0.3715	0.8375	1.185
71	0.009166667	0.0425	0.0425
72	0.007166667	0.0975	0.035
73	0.007166667	0.1275	0.0225
74	0.411666667	0.9	1.0075
75	0.405833333	0.8575	1.0225
76	0.339333333	0.845	1.0625
77	0.382833333	0.855	1.15
78	0.283833333	0.9475	1.21
79	0.3725	0.985	1.2175
80	0.315	1.025	1.2275
81	0.076833333	0.135	1.02
82	0.004166667	0.01	0.0225
83	0.004166667	0.01	0.0225
84	0.4405	1.0425	1.19
85	0.290833333	0.0525	1.1275
86	0.4575	1.0325	1.1525
87	0.474166667	0.9475	1.1675
88	0.0195	0.05	0.0825
89	0.478	0.9775	1.1625
90	0.4645	0.9675	1.2175
91	0.465166667	0.985	1.22
92	0.0565	0.085	0.39
93	0.0135	0.065	0.0825
94	0.006333333	0.5075	0.0275
95	0.586666667	1.0225	1.2025
96	0.599666667	1.07	1.12
97	0.613166667	0.9725	1.1975
98	0.590333333	0.84	1.18
99	0.476166667	0.855	1.2075
100	0.562833333	0.84	1.2025
