Data from robot gripper sensors											
Nov-14											
"Data generation: Physical testing and data logging"												
"Hardware: human, Robotiq hand"												
Grasp #	left finger	right finger	middle finger	palm	maxofleft	maxofright	maxofmiddle	maxofpalm
1	25.5	215.5	76	132	76	434	153	502
2	55.5	224.5	85.75	142.7333332	101	376	205	489
3	15	136.5	152.75	7.8666668	32	398	312	76
4	35.25	210.75	155.5	160.5333332	82	405	211	504
5	234.25	136.75	145.25	146	421	368	301	439
6	69.5	156	117.5	176.2666668	169	430	274	437
7	194	101	100.25	208.1333332	385	391	270	436
8	185	245.5	183	1.9333332	383	399	337	12
9	106	250.5	160.5	2.1333332	377	401	297	22
10	204.5	253.75	159	0.7333332	427	403	308	3
11	70	20	53.75	224.8	102	63	108	447
12	14.75	236	189.25	6.1333332	24	416	295	51
13	11.75	127	54.25	133.1333332	14	292	88	454
14	3.75	34.5	50.5	4.4666668	9	82	92	45
15	1.75	17.25	6	0.7333332	5	52	17	2
16	36	2.5	6.25	3.4	142	5	12	34
17	0.75	2	17.75	0.9333332	1	4	54	3
18	157.25	5.75	87.5	0.2	320	11	247	1
19	203.5	1	221	0.4666668	417	2	457	1
20	204.5	3	201.5	0.8666668	424	8	405	2
21	21.75	291.25	108.25	211.8666668	52	452	198	456
22	246	212.75	219.75	149.1333332	472	420	440	433
23	179.75	203.75	153.5	170.0666668	349	472	327	436
24	194.5	194.5	92	169.8	342	497	309	452
25	44.75	0.47125 0.250625	160.8666668	131	452	144	455	
26	264.75	39.25	96	153.2	392	101	320	440
27	232.25	78.25	148.5	225.2666668	368	162	376	440
28	124.25	72	183.75	2.2666668	348	286	433	8
29	117.25	16.25	105.75	0.9333332	330	51	396	3
30	3	36	193	1.4	6	88	440	4
31	41.75	166	66.25	196.6666668	117	501	220	449
32	46.25	121	203.75	158.6	145	268	440	450
33	256.5	49.25	193	169.7333332	481	169	465	459
34	52	123.25	82.5	186.2666668	114	481	309	467
35	33.25	160.25	190	187.1333332	102	438	398	484
36	18.75	132	128.75	49.2666668	65	459	205	384
37	11	203.5	95.75	242.0666668	32	502	330	500
38	15.75	18.25	158.5	1.0666668	29	52	482	2
39	138	198	155	0.6666668	346	429	448	2
40	14	18.25	172	0.7333332	41	50	445	4
41	66.25	185	121.75	164.4666668	99	496	345	497
42	10.25	125.75	146.5	144.6	24	470	347	443
43	4.5	31.5	134.25	163.7333332	10	79	342	446
44	6.25	13.5	237.75	151.8	11	20	492	435
45	15.25	38.5	115	221.8	41	66	342	450
46	6.5	87.25	113.5	162.4	14	194	325	444
47	3.25	21	124.25	179.7333332	6	59	346	440
48	169.75	118	219.25	1.0666668	305	420	441	3
49	96.75	85	218.75	0.5333332	300	265	454	2
50	24	26.75	296.25	0.8666668	55	40	458	3
51	10	142.5	152.25	177.2	31	391	368	457
52	290.5	13.75	216	155.2666668	498	32	435	448
53	25.75	133.5	165	12	65	462	337	106
54	19.5	53.75	156.5	185.7333332	50	142	345	466
55	23.75	122.5	161.75	13.2	83	435	461	142
56	27	279.25	142	172.6666668	66	504	343	446
57	24.75	275	142.25	218.0666668	64	491	310	500
58	119.75	149.25	135.5	1.9333332	399	383	424	10
59	160	185.5	150.5	1	355	463	431	3
60	94.75	124.5	1.75	0.3333332	328	336	4	0
61	22.5	50.75	6.75	5.7333332	61	179	18	50
62	86.25	34.25	5.25	2	336	117	10	12
63	108.75	98.25	25	46.0666668	323	218	76	349
64	87.5	35.5	52.5	10.3333332	322	122	175	68
65	83.25	20.25	69.5	1.1333332	299	72	242	8
66	122.75	128.5	103.75	3.8666668	317	463	337	21
67	138.25	12.25	36.75	51.4	356	28	96	231
68	129.5	141.25	85.5	1.4	369	399	303	5
69	218.25	175.25	145.5	0.9333332	424	349	287	2
70	174.5	305.25	203.75	0.6	430	429	310	1
