Data from robot gripper sensors											
Nov-14											
"Data generation: Physical testing and data logging"												
"Hardware: human, Robotiq hand"												
Grasp #	left finger	right finger	middle finger
1	0.165625	0.55	1.1225
2	0.509375	1.1	1.125
3	0.4825	1.1625	1.1475
4	0.20625	0.7725	1.1675
5	0.475	0.995	1.21
6	0.321875	0.5125	0.96
7	0.239375	0.825	1.25
8	0.39625	1.205	0.005
9	0.3875	1.12	0.005
10	0.43	1.1125	0.01
11	0.304375	0.8625	1.2425
12	0.36625	0.8675	1.1075
13	0.335625	0.855	1.115
14	0.594375	1.23	1.0875
15	0.2875	0.855	1.125
16	0.28375	0.8125	1.11
17	0.310625	0.865	1.1
18	0.548125	1.1025	0.0075
19	0.546875	1.135	0.005
20	0.740625	1.145	0.0075
21	0.380625	0.92	1.1425
22	0.54	1.0875	1.12
23	0.4125	0.8425	0.265
24	0.39125	0.8625	1.165
25	0.404375	1.1525	0.355
26	0.355	0.8575	1.115
27	0.355625	0.775	1.25
28	0.33875	1.06	0.025
29	0.37625	1.0775	0.0075
30	0.004375	0.01	0
31	0.016875	0.045	0.125
32	0.013125	0.025	0.03
33	0.0625	0.19	0.8725
34	0.13125	0.4375	0.17
35	0.17375	0.605	0.02
36	0.259375	0.8425	0.0525
37	0.091875	0.24	0.5775
38	0.21375	0.7575	0.0125
39	0.36375	0.7175	0.005
40	0.509375	0.775	0.0025
41	0.494375	0.9225	0.3525
42	0.249375	0.63	0.385
43	0.02375	0.0425	0.3525
44	0.0275	0.0475	0.4175
45	0.02375	0.0475	0.8125
46	0.080625	0.1975	0.3075
47	0.004375	0.0075	0.655
48	0.0075	0.02	0.3275
49	0.253125	0.8325	0.0125
50	0.33	0.7625	0.0025
51	0.516875	0.91	1.055
52	0.546875	0.885	1.2
53	0.5325	0.9125	1.1625
54	0.56375	0.88	1.25
55	0.50375	0.8275	1.095
56	0.52625	0.8525	1.13
57	0.511875	0.8375	1.0925
58	0.241875	0.6725	0.0775
59	0.65625	1.005	0.0075
60	0.514375	0.8625	0.005
61	0.57	0.9225	1.215
62	0.52625	0.835	1.19
63	0.564375	0.8375	0.9875
64	0.51375	0.84	1.255
65	0.516875	0.84	1.155
66	0.56875	0.8825	0.875
67	0.508125	0.8625	1.16
68	0.404375	0.8525	0.0975
69	0.423125	0.8475	0.07
70	0.510625	0.9675	0.0175
71	0.533125	0.845	1.2475
72	0.54875	0.815	1.2525
73	0.534375	0.81	1.24
74	0.55375	0.825	0.975
75	0.5275	0.815	1.2425
76	0.53875	0.8225	1.1675
77	0.53125	0.8225	1.21
78	0.56625	0.8275	0.1825
79	0.459375	0.94	0.01
80	0.214375	0.6625	0.005
81	0.521875	0.815	1.1275
82	0.5525	0.8225	1.205
83	0.53875	0.8175	1.22
84	0.528125	0.8225	1.2525
85	0.5275	0.8275	1.235
86	0.530625	0.825	1.22
87	0.53375	0.83	1.17
88	0.34625	0.715	0.0075
89	0.055625	0.1225	0.08
90	0.415625	0.7525	0.03
91	0.516875	0.8325	1.105
92	0.491875	0.8275	1.1
93	0.485	0.845	0.8725
94	0.455	0.8225	0.835
95	0.515625	0.82	0.81
96	0.529375	0.8275	1.125
97	0.3875	0.8275	1.165
98	0.494375	0.825	1.17
99	0.246875	0.6925	0.015
100	0.400625	0.8425	0.0125
101	0.223125	0.6625	0.005
102	0.46875	0.8025	1.24
103	0.54875	0.8325	1.135
104	0.409375	0.8325	1.055
105	0.483125	0.8325	1.2125
106	0.490625	0.8675	1.1575
107	0.500625	0.8675	1.125
108	0.4925	0.875	1.0475
109	0.56	0.8975	0.065
110	0.635625	0.825	0.015
111	0.81875	0.9	0.005
112	0.529375	0.825	1.0025
113	0.5325	0.8925	1.2175
114	0.5125	0.85	1.24
115	0.55	0.855	0.9925
116	0.5175	0.8525	1.22
117	0.514375	0.85	1.1175
118	0.52125	0.855	1.0925
119	0.526875	0.8625	0.015
120	0.3125	0.7275	0.0125
121	0.2275	0.655	0.0225
122	0.5425	0.925	1.0475
123	0.568125	0.86	1.1075
124	0.526875	0.8475	1.15
125	0.48625	0.8525	1.2275
126	0.43375	0.8675	1.1
127	0.541875	0.8475	1.055
128	0.49	0.85	1.18
129	0.280625	0.6525	0.045
130	0.365625	0.735	0.0075
131	0.21	0.6075	0.01
132	0.50125	0.8475	1.17
133	0.544375	0.8475	1.205
134	0.55875	0.8425	1.0925
135	0.554375	0.8475	0.9425
136	0.56	0.8475	0.9525
137	0.455	0.8475	0.5675
138	0.475625	0.855	1.0725
139	0.50625	0.8775	1.0925
140	0.21625	0.66	0.1125
141	0.25375	0.6375	0.0225
142	0.2425	0.6475	0.01
143	0.504375	0.8625	1.23
144	0.538125	0.8575	0.9675
145	0.539375	0.8575	1.03
146	0.5425	0.855	1.0975
147	0.524375	0.8525	1.1925
148	0.4275	0.865	0.0375
149	0.40875	0.8625	0.01
150	0.411875	0.8925	0.005
