Shake Testing Results from preliminary Robotiq testing
Nov-14	
Grasps generation: Humans physically guided hand to position	
"Hardware: Human arm, Robotiq hand"	
Grasp   # Shake testing average of 1 trial
1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	0
9	0
10	0
11	1
12	1
13	1
14	1
15	1
16	1
17	1
18	0
19	0
20	0
21	1
22	1
23	1
24	1
25	1
26	1
27	1
28	0
29	0
30	0
31	1
32	1
33	1
34	1
35	1
36	1
37	1
38	0	
39	0
40	0
41	1
42	1
43	1
44	1
45	1
46	1
47	1
48	0
49	0
50	0
51	1	
52	1
53	1
54	1
55	1
56	1
57	1
58	0
59	0
60	0
61	1
62	1
63	1
64	1
65	1
66	1
67	1
68	0
69	0
70	0
71	1
72	1
73	1
74	1
75	1
76	1
77	1
78	0
79	0
80	0
81	1
82	1
83	1
84	1
85	1
86	1
87	1
88	0
89	0
90	0
91	1
92	1
93	1
94	1
95	1
96	1
97	1
98	0	
99	0
100	0
101	1
102	1
103	1
104	1
105	1
106	1
107	1
108	0
109	0
110	0
111	1
112	1
113	1
114	1
115	1
116	1
117	1
118	0
119	0
120	0
121	1
122	1
123	1
124	1
125	1
126	1
127	1
128	0
129	0
130	0
131	1
132	1
133	1
134	1
135	1
136	1
137	1
138	0
139	0
140	0
141	1
142	1
143	1
144	1
145	1
146	1
147	1
148	0
149	0
150	0
151	1
152	1
153	1
154	1
155	1
156	1
157	1
158	0
159	0
160	0
161	1
162	1
163	1
164	1
165	1
166	1
167	1
168	0
169	0
170	0
171	1
172	1
173	1
174	1
175	1
176	1
177	1
178	0
179	0
180	0
181	1
182	1
183	1
184	1
185	1
186	1
187	1
188	0
189	0
190	0
191	1
192	1
193	1
194	1
195	1
196	1
197	1
198	0
199	0
200	0
201	1
202	1
203	1
204	1
205	1
206	1
207	1
208	0
209	0
210	0
211	1
212	1
213	1
214	1
215	1
216	1
217	1
218	0
219	0
220	0
221	1
222	1
223	1
224	1
225	1
226	1
227	1
228	0
229	0
230	0
231	1
232	1
233	1
234	1
235	1
236	1
237	1
238	0
239	0
240	0
241	1
242	1
243	1
244	1
245	1
246	1
247	1
248	0
249	0
250	0
251	1
252	1
253	1
254	1
255	1
256	1
257	1
258	0
259	0
260	0
261	1
262	1
263	1
264	1
265	1
266	1
267	1
268	0
269	0
270	0
271	1
272	1
273	1
274	1
275	1
276	1
277	1
278	0
279	0
280	0
281	1
282	1
283	1
284	1
285	1
286	1
287	1
288	0
289	0
290	0
291	1
292	1
293	1
294	1
295	1
296	1
297	1
298	0
299	0
300	0
301	1
302	1
303	1
304	1
305	1
306	1
307	1
308	0
309	0
310	0
311	1
312	1
313	1
314	1
315	1
316	1
317	1
318	0
319	0
320	0
321	1
322	1
323	1
324	1
325	1
326	1
327	1
328	0
329	0
330	0
331	1
332	1
333	1
334	1
335	1
336	1
337	1
338	0
339	0
340	0
341	1
342	1
343	1
344	1
345	1
346	1
347	1
348	0
349	0
350	0
351	1
352	1
353	1
354	1
355	1
356	1
357	1
358	0
359	0
360	0
361	1
362	1
363	1
364	1
365	1
366	1
367	1
368	0
369	0
370	0
371	1
372	1
373	1
374	1
375	1
376	1
377	1
378	0
379	0
380	0
381	1
382	1
383	1
384	1
385	1
386	1
387	1
388	0
389	0
390	0
391	1
392	1
393	1
394	1
395	1
396	1
397	1
398	0
399	0
400	0
401	1
402	1
403	1
404	1
405	1
406	1
407	1
408	0
409	0
410	0
411	1
412	1
413	1
414	1
415	1
416	1
417	1
418	0
419	0
420	0
421	1
422	1
423	1
424	1
425	1
426	1
427	1
428	0
429	0
430	0
431	1
432	1
433	1
434	1
435	1
436	1
437	1
438	0
439	0
440	0
441	1
442	1
443	1
444	1
445	1
446	1
447	1
448	0
449	0
450	0
451	1
452	1
453	1
454	1
455	1
456	1
457	1
458	0
459	0
460	0
461	1
462	1
463	1
464	1
465	1
466	1
467	1
468	0
469	0
470	0
471	1
472	1
473	1
474	1
475	1
476	1
477	1
478	0
479	0
480	0
481	1
482	1
483	1
484	1
485	1
486	1
487	1
488	0
489	0
490	0
491	1
492	1
493	1
494	1
495	1
496	1
497	1
498	0
499	0
500	0
501	1
502	1
503	1
504	1
505	1
506	1
507	1
508	0
509	0
510	0
511	1
512	1
513	1
514	1
515	1
516	1
517	1
518	0
519	0
520	0
521	1
522	1
523	1
524	1
525	1
526	1
527	1
528	0
529	0
530	0
531	1
532	1
533	1
534	1
535	1
536	1
537	1
538	0
539	0
540	0
541	1
542	1
543	1
544	1
545	1
546	1
547	1
548	0
549	0
550	0
551	1
552	1
553	1
554	1
555	1
556	1
557	1
558	0
559	0
560	0
561	1
562	1
563	1
564	1
565	1
566	1
567	1
568	0
569	0
570	0
571	1
572	1
573	1
574	1
575	1
576	1
577	1
578	0
579	0
580	0
581	1
582	1
583	1
584	1
585	1
586	1
587	1
588	0
589	0
590	0
591	1
592	1
593	1
594	1
595	1
596	1
597	1
598	0
599	0
600	0
601	1
602	1
603	1
604	1
605	1
606	1
607	1
608	0
609	0
610	0
611	1
612	1
613	1
614	1
615	1
616	1
617	1
618	0
619	0
620	0
621	1
622	1
623	1
624	1
625	1
626	1
627	1
628	0
629	0
630	0
631	1
632	1
633	1
634	1
635	1
636	1
637	1
638	0
639	0
640	0
641	1
642	1
643	1
644	1
645	1
646	1
647	1
648	0
649	0
650	0
651	1
652	1
653	1
654	1
655	1
656	1
657	1
658	0
659	0
660	0
661	1
662	1
663	1
664	1
665	1
666	1
667	1
668	0
669	0
670	0
671	1
672	1
673	1
674	1
675	1
676	1
677	1
678	0
679	0
680	0
681	1
682	1
683	1
684	1
685	1
686	1
687	1
688	0
689	0
690	0
691	1
692	1
693	1
694	1
695	1
696	1
697	1
698	0
699	0
700	0














