Data from robot gripper sensors																		
14-Nov																		
Data generation: Physical testing and data logging																		
Hardware: human, Robotiq hand																		
Grasp #	left finger	right finger	middle finger	palm	maxofleft	maxofright	maxofmiddle	maxofpalm										
1	0.480625	0.425625	0.516875	0.4495	0.9275	1.0625	0.91	1.055										
2	0.48	0.36875	0.546875	0.292166667	0.9375	1.095	0.885	1.2										
3	0.50875	0.610625	0.5325	0.373333333	0.9975	1.2275	0.9125	1.1625										
4	0.496875	0.575	0.56375	0.348	0.9425	1.2325	0.88	1.25										
5	0.506875	0.52125	0.50375	0.423	0.965	1.2275	0.8275	1.095										
6	0.494375	0.494375	0.52625	0.426333333	0.935	1.1575	0.8525	1.13										
7	0.49375	0.395	0.511875	0.486666667	0.935	1.06	0.8375	1.0925										
8	0.304375	0.3825	0.241875	0.01	0.94	1.09	0.6725	0.0775										
9	0.58125	0.711875	0.65625	0.002833333	1.07	0.8925	1.005	0.0075										
10	0.89125	0.50375	0.514375	0.001833333	1.0975	0.84	0.8625	0.005										
11	0.42125	0.395	0.521875	0.295666667	0.945	1.175	0.815	1.1275										
12	0.53	0.44125	0.5525	0.385	0.9875	1.26	0.8225	1.205										
13	0.526875	0.445625	0.53875	0.430333333	1.0275	1.2575	0.8175	1.22										
14	0.521875	0.44125	0.528125	0.370166667	1.02	1.23	0.8225	1.2525										
15	0.510625	0.4425	0.5275	0.285666667	1.005	1.205	0.8275	1.235										
16	0.51875	0.435625	0.530625	0.323666667	1.035	1.2	0.825	1.22										
17	0.51375	0.4275	0.53375	0.317166667	1.025	1.1825	0.83	1.17										
18	0.50875	0.36875	0.34625	0.002	1.0275	1.205	0.715	0.0075										
19	0.069375	0.2125	0.055625	0.0215	0.15	0.6275	0.1225	0.08										
20	0.74875	0.348125	0.415625	0.005333333	1.0175	0.715	0.7525	0.03										
21	0.93625	0.700625	0.81875	0.001166667	1.1525	1.1825	0.9	0.005										
22	0.31125	0.348125	0.529375	0.316	0.9525	1.0575	0.825	1.0025										
23	0.496875	0.445	0.5325	0.2665	0.9925	1.265	0.8925	1.2175										
24	0.473125	0.4175	0.5125	0.278	0.9375	1.2025	0.85	1.24										
25	0.466875	0.438125	0.55	0.410166667	0.94	1.2075	0.855	0.9925										
26	0.52	0.453125	0.5175	0.306666667	1.0925	1.205	0.8525	1.22										
27	0.476875	0.383125	0.514375	0.439333333	0.96	1.17	0.85	1.1175										
28	0.45375	0.3425	0.475625	0.493	0.925	1.2325	0.855	1.0725										
29	0.43625	0.41625	0.50625	0.504	0.92	1.22	0.8775	1.0925										
30	0.24	0.368125	0.21625	0.011666667	0.82	1.2325	0.66	0.1125										
31	0.505	0.3525	0.223125	0.002	1.055	1.0825	0.6625	0.005										
32	0.47	0.37625	0.46875	0.207166667	0.9375	1.1675	0.8025	1.24										
33	0.458125	0.4325	0.54875	0.312333333	0.91	1.2575	0.8325	1.135										
34	0.50125	0.354375	0.409375	0.3875	1.0025	1.215	0.8325	1.055										
35	0.496875	0.4025	0.483125	0.4395	1.005	1.245	0.8325	1.2125										
36	0.43375	0.391875	0.490625	0.486833333	0.86	1.22	0.8675	1.1575										
37	0.4325	0.38625	0.500625	0.4675	0.865	1.2475	0.8675	1.125										
38	0.434375	0.39875	0.4925	0.485666667	0.8725	1.265	0.875	1.0475										
39	0.589375	0.754375	0.56	0.009166667	1.1325	1.255	0.8975	0.065										
40	0.826875	0.516875	0.635625	0.004	0.9725	1.035	0.825	0.015										
41	0.459375	0.32375	0.516875	0.436333333	0.9525	1.1975	0.8325	1.105										
42	0.503125	0.405	0.491875	0.446333333	0.95	1.2525	0.8275	1.1										
43	0.4525	0.375625	0.485	0.297333333	0.8925	1.1775	0.845	0.8725										
44	0.4875	0.384375	0.455	0.290166667	0.9825	1.2025	0.8225	0.835										
45	0.485	0.395	0.515625	0.263333333	0.9725	1.245	0.82	0.81										
46	0.500625	0.395	0.5425	0.456	1.0525	1.2275	0.855	1.0975										
47	0.52	0.4025	0.524375	0.401333333	1.1025	1.215	0.8525	1.1925										
48	0.70125	0.35375	0.4275	0.006166667	1.035	1.1925	0.865	0.0375										
49	0.619375	0.333125	0.40875	0.0025	0.9175	0.945	0.8625	0.01										
50	0.59375	0.290625	0.411875	0.001666667	0.975	0.925	0.8925	0.005										
